# x, y, omega
# 
676.968496 474.698286 0.035165
679.167695 478.937395 0.035408
681.854354 482.455428 0.035567
684.758932 486.407207 0.035634
687.877166 490.115032 0.035604
691.180888 493.557189 0.035476
694.639054 496.716176 0.035249
698.539075 499.013913 0.034923
702.445965 501.611779 0.034493
706.409089 503.864827 0.033963
710.389059 505.774851 0.033336
714.511356 506.731610 0.032618
718.656893 508.049753 0.031810
722.720638 509.025980 0.030916
726.668908 509.680612 0.029943
732.311716 510.112204 0.028356
737.861539 508.805149 0.026640
742.987468 508.246627 0.024814
747.631257 507.243034 0.022908
751.770592 505.891448 0.020952
755.467185 503.675757 0.018975
758.902545 501.271626 0.016996
762.872875 498.650266 0.014379
766.079767 495.908659 0.011829
769.148629 492.477158 0.008794
771.697890 488.533287 0.005444
773.498962 484.325827 0.001998
774.528436 480.101746 -0.001308
774.964835 476.045304 -0.004275
775.990215 480.167295 -0.009969
773.579764 476.849515 -0.010912
771.275574 473.250675 -0.011142
769.962375 469.396495 -0.011087
768.117430 465.840853 -0.010788
767.430644 461.888755 -0.010367
766.896337 457.694303 -0.010106
766.827189 453.471295 -0.009730
767.581267 449.329001 -0.009636
767.823856 445.185000 -0.009674
769.341413 440.966264 -0.009937
771.285422 437.364585 -0.010653
773.474521 434.000999 -0.011783
777.536621 433.542019 -0.013677
780.749887 436.086414 -0.016265
781.202553 440.067266 -0.017954
784.648280 442.405132 -0.019523
786.993071 445.753624 -0.020497
787.890898 449.851223 -0.021118
787.953255 454.100647 -0.021428
786.607228 458.134703 -0.021447
784.066079 461.318678 -0.020991
780.638611 463.419551 -0.019966
776.566803 464.341265 -0.018277
772.868086 462.524139 -0.016293
770.462300 459.279907 -0.014580
769.486265 455.205760 -0.013179
768.491163 451.117340 -0.012023
768.615716 446.525263 -0.011380
768.733766 442.218347 -0.010861
769.212081 438.081886 -0.010505
769.843073 433.597590 -0.010376
770.221393 429.479718 -0.010296
771.517967 425.455134 -0.010350
772.512674 421.475102 -0.010579
774.833490 418.051174 -0.011177
777.654873 415.076819 -0.012105
781.329121 412.948200 -0.013216
785.514839 412.015793 -0.014679
789.692263 411.728912 -0.016170
793.531358 412.855247 -0.017467
797.532213 414.271108 -0.018975
801.080032 416.854904 -0.020266
804.464327 419.552410 -0.021676
806.814213 422.840783 -0.022726
809.192251 426.663200 -0.023800
810.796894 430.659795 -0.024877
812.080353 434.542907 -0.025714
813.058443 438.886299 -0.026722
813.528885 443.464798 -0.027472
813.759809 448.212148 -0.028151
813.349787 452.631214 -0.028751
812.479078 457.683378 -0.029240
811.273439 462.687569 -0.029602
809.251464 467.106502 -0.029828
807.495750 470.716017 -0.029890
804.829783 475.244000 -0.029825
801.182848 478.874846 -0.029579
797.448393 482.572226 -0.029135
793.379806 485.007777 -0.028508
788.933304 487.324574 -0.027697
784.659884 488.974358 -0.026714
780.362055 488.831142 -0.025592
776.211299 489.449965 -0.024346
771.571873 489.458054 -0.022656
767.356248 488.203817 -0.020882
763.409341 487.131236 -0.019055
759.611676 485.194840 -0.016855
756.620518 481.598836 -0.014735
753.456549 478.626621 -0.012396
751.073971 474.790228 -0.009958
749.831199 470.944546 -0.008089
749.185494 466.381962 -0.006492
748.845386 461.942100 -0.005694
748.099808 457.601509 -0.004463
747.484098 453.179992 -0.003268
747.116462 448.658406 -0.002283
746.889881 444.548414 -0.001575
746.652766 440.177436 -0.000984
746.433000 435.740687 -0.000489
746.250171 431.258480 -0.000072
746.758764 427.050962 0.000295
747.435927 422.795044 0.000543
748.057048 418.389423 0.000662
748.647629 414.326292 0.000685
749.176409 410.341074 0.000641
749.733449 405.946790 0.000540
750.095899 401.522316 0.000405
750.311798 397.095302 0.000274
752.326627 393.545303 -0.000194
756.019887 391.746984 -0.001632
759.879575 390.448485 -0.002605
763.986490 389.891483 -0.003630
767.190757 387.350017 -0.004625
769.338193 383.796355 -0.005357
772.450905 380.709297 -0.006214
776.221120 378.401679 -0.007171
780.478860 376.874410 -0.008227
784.805083 375.721710 -0.009354
789.029963 374.685664 -0.010675
793.438116 375.328500 -0.011956
797.655686 376.388122 -0.013150
802.378767 378.047745 -0.014481
806.967934 379.760849 -0.015962
810.881042 382.347348 -0.017240
815.055408 385.506762 -0.018600
818.329490 388.305781 -0.019678
821.696309 391.517364 -0.020806
825.430002 395.769123 -0.022381
828.445203 400.081405 -0.023600
831.399385 404.863443 -0.024846
834.230656 410.140480 -0.026114
836.411154 415.503027 -0.027395
837.744958 419.668566 -0.028245
838.929969 424.029342 -0.029084
839.942248 428.579666 -0.029911
840.757437 433.311050 -0.030719
840.878470 437.735205 -0.031503
840.960793 442.812907 -0.032253
840.771937 447.985892 -0.032961
840.294641 453.229836 -0.033622
839.514345 458.517652 -0.034230
837.945279 463.234034 -0.034779
836.233894 468.451026 -0.035257
834.208023 473.570051 -0.035656
831.874657 478.556597 -0.035974
828.953022 482.751094 -0.036205
825.755666 487.328003 -0.036341
822.309509 491.630106 -0.036377
818.646121 495.631087 -0.036310
814.536039 498.646800 -0.036141
810.292414 502.053608 -0.035866
805.935621 505.069124 -0.035482
801.511610 507.687969 -0.034994
797.065935 509.911413 -0.034405
792.304329 511.099637 -0.033719
787.677250 512.617429 -0.032938
783.145394 513.739812 -0.032068
778.747813 514.490092 -0.031116
774.518563 514.895602 -0.030092
770.203089 514.333602 -0.029005
766.109536 514.209269 -0.027856
760.407250 513.503575 -0.026040
755.273722 512.278562 -0.024142
750.641737 509.960565 -0.022195
746.371194 507.480961 -0.020220
742.583892 505.423058 -0.018238
738.334009 502.427010 -0.015622
734.863896 499.307398 -0.013080
732.164292 496.147388 -0.010649
730.068123 491.804806 -0.008356
728.272870 487.730404 -0.006208
725.952568 483.723144 -0.003253
724.321580 480.037325 -0.000628
722.979742 476.182570 0.002028
721.698246 471.927355 0.004857
721.675442 467.590523 0.006178
721.700239 463.528778 0.008302
720.988807 459.522877 0.010530
721.001750 455.407835 0.012063
721.133395 451.335676 0.013465
722.247331 447.489014 0.014561
723.813752 443.786797 0.014414
724.303537 439.737288 0.014262
723.452484 435.390878 0.014315
721.120620 432.086344 0.014907
717.721194 429.669585 0.015870
713.664714 428.832919 0.017143
709.609351 429.594158 0.018498
706.250458 431.919638 0.019644
703.159034 435.106421 0.021036
700.955412 438.488860 0.022088
699.487870 442.384087 0.022974
698.544840 446.626721 0.023913
698.118317 450.928517 0.024514
698.601500 455.341097 0.025077
699.224869 459.311756 0.025347
